                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6928,                0.69336,                 1.0313,                0.94131,                0.94224,                0.97753,                0.83779,                0.64525,                0.46272,                0.97638,             0.00038507,             0.00038507,             0.00038507
                     36,                0.69674,                0.68026,                 1.0351,                0.96117,                 0.9292,                0.98221,                0.84264,                0.62433,                0.44522,                0.96272,             0.00036307,             0.00036307,             0.00036307
                     37,                0.68695,                0.65479,                 1.0349,                0.99108,                0.92697,                0.98478,                0.84808,                0.63965,                0.44223,                0.97104,             0.00034108,             0.00034108,             0.00034108
                     38,                0.68705,                0.65956,                  1.034,                 0.9706,                0.95965,                0.98736,                0.84256,                0.64981,                0.43093,                0.98169,             0.00031908,             0.00031908,             0.00031908
                     39,                0.68085,                0.65161,                 1.0316,                0.97861,                0.96317,                0.98183,                0.83864,                0.64326,                0.41224,                0.98205,             0.00029708,             0.00029708,             0.00029708
                     40,                0.68045,                0.64142,                 1.0222,                0.97975,                0.96795,                0.98743,                0.85094,                0.63107,                0.38727,                0.96733,             0.00027508,             0.00027508,             0.00027508
                     41,                0.53526,                0.43584,                0.92756,                0.98564,                0.96254,                0.98795,                0.84158,                0.63181,                0.38415,                0.97755,             0.00025309,             0.00025309,             0.00025309
                     42,                0.52212,                0.41266,                0.92506,                0.98143,                0.94345,                0.98608,                0.84163,                0.65545,                0.39975,                0.98938,             0.00023109,             0.00023109,             0.00023109
                     43,                0.50637,                0.38889,                0.91826,                0.94815,                0.96496,                0.98369,                 0.8439,                0.64198,                 0.4147,                0.96928,             0.00020909,             0.00020909,             0.00020909
                     44,                 0.5007,                0.37543,                0.90735,                0.98523,                0.96839,                0.98645,                0.84736,                0.63441,                0.39921,                0.96224,             0.00018709,             0.00018709,             0.00018709
                     45,                0.49821,                0.37599,                0.90688,                0.97839,                 0.9456,                0.98435,                0.84443,                0.61912,                0.39565,                 0.9619,             0.00016509,             0.00016509,             0.00016509
                     46,                0.50141,                0.37403,                0.92313,                0.98396,                0.96531,                 0.9866,                0.84859,                0.63324,                 0.3861,                0.97471,              0.0001431,              0.0001431,              0.0001431
                     47,                0.47076,                0.35247,                0.89328,                0.97205,                0.96904,                0.98471,                0.84612,                0.63428,                0.40357,                0.96715,              0.0001211,              0.0001211,              0.0001211
                     48,                0.46364,                0.34362,                0.89168,                0.97518,                0.96465,                0.98681,                0.85003,                0.62731,                0.38805,                0.96084,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.45385,                0.32921,                0.88271,                0.96584,                0.95808,                0.98695,                0.85254,                0.61314,                0.38144,                0.95217,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.45238,                0.33359,                0.89549,                0.98731,                0.94752,                0.98757,                0.85697,                0.61191,                 0.3686,                0.94615,             5.5106e-05,             5.5106e-05,             5.5106e-05
